информационного общества;0.487
рекомендациях открытой;0.4574
недооценивается основной;0.4514
профессионально ориентированного;0.4503
категориями ресурсов;0.4492
возможностей исследовательской;0.449
элективного односеместрового;0.448
воспроизведение повторение;0.4436
определенного учебника;0.4422
ограничениями исследователи;0.4393
университете руководством;0.4391
повторение классических;0.438
необходимость преодоления;0.4337
методически обоснованные;0.4335
образцов возможностей;0.4326
немногочисленные пособия;0.4315
репозитории инструментов;0.431
зарегистрированные наукометрических;0.4305
педагогической общественности;0.4302
обзора видеоресурсов;0.4298
